Release,Fecha
1.000       ,1987
1.001..10   ,1988
1.011..14   ,1988
1.0.15      ,2002
1.0_16      ,2003
2.000 ,1988
2.001 ,1988
3.000       ,1989
3.001       ,1989
3.002..4    ,1989
3.005       ,1989
3.006..8    ,1989
3.009..13   ,1990
3.014       ,1990
3.015       ,1990
3.016..18   ,1990
3.019..27   ,1990
3.028       ,1990
3.029..36   ,1990
3.037       ,1990
3.040       ,1990
3.041       ,1990
3.042..43   ,1991
3.044       ,1991
4.000       ,1991
4.001..3    ,1991
4.004..9    ,1991
4.010       ,1991
4.011..18   ,1991
4.019       ,1991
4.020..33   ,1992
4.034       ,1992
4.035       ,1992
4.036       ,1993
5.000alpha1 ,1993
5.000alpha2 ,1993
5.000alpha3 ,1993
5.000alpha4 ,1993
5.000alpha5 ,1993
5.000alpha6 ,1994
5.000alpha7 ,1994
5.000alpha8 ,1994
5.000alpha9 ,1994
5.000alpha10,1994
5.000alpha11,1994
5.000a11a   ,1994
5.000a11b   ,1994
5.000a11c   ,1994
5.000a11d   ,1994
5.000alpha12,1994
5.000a12a   ,1994
5.000a12b   ,1994
5.000a12c   ,1994
5.000a12d   ,1994
5.000a12e   ,1994
5.000a12f   ,1994
5.000a12g   ,1994
5.000a12h   ,1994
5.000beta1  ,1994
5.000b1a    ,1994
5.000beta2  ,1994
5.000b2a    ,1994
5.000b2b    ,1994
5.000b2c    ,1994
5.000beta3  ,1994
5.000b3a    ,1994
5.000b3b    ,1994
5.000b3c    ,1994
5.000b3d    ,1994
5.000b3e    ,1994
5.000b3f    ,1994
5.000b3g    ,1994
5.000b3h    ,1994
5.000gamma  ,1994
5.000       ,1994
5.000a      ,1994
5.000b      ,1995
5.000c      ,1995
5.000d      ,1995
5.000e      ,1995
5.000f      ,1995
5.000g      ,1995
5.000h      ,1995
5.000i      ,1995
5.000j      ,1995
5.000k      ,1995
5.000l      ,1995
5.000m      ,1995
5.000n      ,1995
5.000o      ,1995
5.001       ,1995
5.001a      ,1995
5.001b      ,1995
5.001c      ,1995
5.001d      ,1995
5.001e      ,1995
5.001f      ,1995
5.001g      ,1995
5.001h      ,1995
5.001i      ,1995
5.001j      ,1995
5.001k      ,1995
5.001l      ,1995
5.001m      ,1995
5.001n      ,1995
5.002beta1  ,1995
5.002b1a    ,1995
5.002b1b    ,1995
5.002b1c    ,1995
5.002b1d    ,1995
5.002b1e    ,1995
5.002b1f    ,1995
5.002b1g    ,1995
5.002b1h    ,1996
5.002b2     ,1996
5.002b3     ,1996
5.002gamma  ,1996
5.002delta  ,1996
5.002       ,1996
5.002_01    ,1996
5.003       ,1996
5.003_01    ,1996
5.003_02    ,1996
5.003_03    ,1996
5.003_04    ,1996
5.003_05    ,1996
5.003_06    ,1996
5.003_07    ,1996
5.003_08    ,1996
5.003_09    ,1996
5.003_10    ,1996
5.003_11    ,1996
5.003_12    ,1996
5.003_13    ,1996
5.003_14    ,1996
5.003_15    ,1996
5.003_16    ,1996
5.003_17    ,1996
5.003_18    ,1996
5.003_19    ,1997
5.003_20    ,1997
5.003_21    ,1997
5.003_22    ,1997
5.003_23    ,1997
