id,name,web,longitude,latitude,location,description
0,NY.pm,http://www.meetup.com/The-New-York-Perl-Meetup-Group/,-73.98771000,40.72426868,"New York City, New York, Center of the Universe, United States of America, North America","Perl Mongers New York City, New York, Center of the Universe, United States of America, North America is the Perl users group that organizes meetings"
1,Albany.pm,http://albany.pm.org/,-73.79901,42.66575,"Albany, New York, United States of America, North America","Perl Mongers Albany, New York, United States of America, North America is the Perl users group that organizes meetings"
2,Albuquerque.pm,http://albuquerque.pm.org/,-106.62463,35.11721,"Albuquerque, New Mexico, United States of America, North America","Perl Mongers Albuquerque, New Mexico, United States of America, North America is the Perl users group that organizes meetings"
7,Atlanta.pm,http://atlanta.pm.org/,-84.351289,33.9251,"Atlanta, Georgia, United States of America, North America","Perl Mongers Atlanta, Georgia, United States of America, North America is the Perl users group that organizes meetings"
8,Austin.pm,http://austin.pm.org/,-97.790157,30.445899,"Austin, Texas, United States of America, North America","Perl Mongers Austin, Texas, United States of America, North America is the Perl users group that organizes meetings"
10,Baltimore.pm,http://baltimore.pm.org/,-76.6125,39.2905,"Baltimore, Maryland, United States of America, North America","Perl Mongers Baltimore, Maryland, United States of America, North America is the Perl users group that organizes meetings"
12,Boston.pm,http://boston.pm.org/,-71.085055,42.361065,"Boston, Massachusetts, United States of America, North America","Perl Mongers Boston, Massachusetts, United States of America, North America is the Perl users group that organizes meetings"
13,Boulder.pm,http://boulder.pm.org/,-105.25,40.02,"Boulder, Colorado, United States of America, North America","Perl Mongers Boulder, Colorado, United States of America, North America is the Perl users group that organizes meetings"
16,Champaign-Urbana.pm,http://champaign-urbana.pm.org/,-88.2235,40.1065,"Illinois, Champaign-Urbana, United States of America, North America","Perl Mongers Illinois, Champaign-Urbana, United States of America, North America is the Perl users group that organizes meetings"
19,Chicago.pm,http://chicago.pm.org/,-87.641505,41.882104,"Chicago, Illinois, United States of America, North America","Perl Mongers Chicago, Illinois, United States of America, North America is the Perl users group that organizes meetings"
20,Cincinnati.pm,http://cincinnati.pm.org/,-84.39281,39.190389,"Cincinnati, Ohio, United States of America, North America","Perl Mongers Cincinnati, Ohio, United States of America, North America is the Perl users group that organizes meetings"
22,Cleveland.pm,http://cleveland.pm.org,-81.6955556,41.4994444,"Cleveland, Ohio, United States of America, North America","Perl Mongers Cleveland, Ohio, United States of America, North America is the Perl users group that organizes meetings"
23,Columbus.pm,http://columbus.pm.org/,-82883,40.0,"Columbus, Ohio, United States of America, North America","Perl Mongers Columbus, Ohio, United States of America, North America is the Perl users group that organizes meetings"
24,DFW.pm,http://dfw.pm.org/,-96.76524,32.79415,"Texas, Dallas/Ft. Worth, United States of America, North America","Perl Mongers Texas, Dallas/Ft. Worth, United States of America, North America is the Perl users group that organizes meetings"
27,DC.pm,http://dc.pm.org/,-77.01616,38.90505,"Washington, District of Columbia, United States of America, North America","Perl Mongers Washington, District of Columbia, United States of America, North America is the Perl users group that organizes meetings"
28,Denver.pm,http://denver.pm.org/,-104.87265,39.76803,"Denver, Colorado, United States of America, North America","Perl Mongers Denver, Colorado, United States of America, North America is the Perl users group that organizes meetings"
29,DesMoines.pm,http://desmoines.pm.org,-93.620833,41.590833,"Des Moines, Iowa, United States of America, North America","Perl Mongers Des Moines, Iowa, United States of America, North America is the Perl users group that organizes meetings"
38,Harrisburg.pm,http://harrisburg.pm.org/,-77.032329,40.262852,"Harrisburg, Pennsylvania, United States of America, North America","Perl Mongers Harrisburg, Pennsylvania, United States of America, North America is the Perl users group that organizes meetings"
40,HudsonValley.pm,http://hudson-valley.pm.org/,-74.422466,41.445661,"Middletown, New York, United States of America, North America","Perl Mongers Middletown, New York, United States of America, North America is the Perl users group that organizes meetings"
42,Houston.pm,http://houston.pm.org/,-95.424338,29.738281,"Houston, Texas, United States of America, North America","Perl Mongers Houston, Texas, United States of America, North America is the Perl users group that organizes meetings"
50,KansasCity.pm,http://kc.pm.org/,-94.596036,38.992614,"Kansas City, Missouri, United States of America, North America","Perl Mongers Kansas City, Missouri, United States of America, North America is the Perl users group that organizes meetings"
51,LasVegas.pm,http://lasvegas.pm.org/,-115.1658417,36.1272588,"Las Vegas, Nevada, Clark County, United States of America, North America","Perl Mongers Las Vegas, Nevada, Clark County, United States of America, North America is the Perl users group that organizes meetings"
56,Madison.pm,http://www.madmongers.org/,-89401,43073,"Madison, Wisconsin, United States of America, North America","Perl Mongers Madison, Wisconsin, United States of America, North America is the Perl users group that organizes meetings"
59,Milwaukee.pm,http://milwaukee.pm.org/,-87.9064,43.0389,"Milwaukee, Wisconsin, United States of America, North America","Perl Mongers Milwaukee, Wisconsin, United States of America, North America is the Perl users group that organizes meetings"
60,Minneapolis.pm,http://www.meetup.com/Minnesota-Perl-User-Group/,-93.26684,44.96185,"Minneapolis, Minnesota, United States of America, North America","Perl Mongers Minneapolis, Minnesota, United States of America, North America is the Perl users group that organizes meetings"
61,Montréal.pm,http://montreal.pm.org/,-73.574452,45.503896,"Montréal, Québec, Canada, North America","Perl Mongers Montréal, Québec, Canada, North America is the Perl users group that organizes meetings"
69,Omaha.pm,http://omaha.pm.org/,-96.016937,41.247574,"Omaha, Nebraska, United States of America, North America","Perl Mongers Omaha, Nebraska, United States of America, North America is the Perl users group that organizes meetings"
70,OrangeCounty.pm,http://oc.pm.org/,-117.77739,33.67496,"Orange County, California, United States of America, North America","Perl Mongers Orange County, California, United States of America, North America is the Perl users group that organizes meetings"
