id,name,Fecha,web,longitude,latitude,location
0,NY.pm,=,http://www.meetup.com/The-New-York-Perl-Meetup-Group/,-73.98771000,40.72426868,"New York City, New York, Center of the Universe, United States of America, North America"
1,Albany.pm,,http://albany.pm.org/,-73.79901,42.66575,"Albany, New York, United States of America, North America"
2,Albuquerque.pm,,http://albuquerque.pm.org/,-106.62463,35.11721,"Albuquerque, New Mexico, United States of America, North America"
7,Atlanta.pm,,http://atlanta.pm.org/,-84.351289,33.9251,"Atlanta, Georgia, United States of America, North America"
8,Austin.pm,,http://austin.pm.org/,-97.790157,30.445899,"Austin, Texas, United States of America, North America"
10,Baltimore.pm,,http://baltimore.pm.org/,-76.6125,39.2905,"Baltimore, Maryland, United States of America, North America"
12,Boston.pm,,http://boston.pm.org/,-71.085055,42.361065,"Boston, Massachusetts, United States of America, North America"
13,Boulder.pm,,http://boulder.pm.org/,-105.25,40.02,"Boulder, Colorado, United States of America, North America"
16,Champaign-Urbana.pm,,http://champaign-urbana.pm.org/,-88.2235,40.1065,"Illinois, Champaign-Urbana, United States of America, North America"
19,Chicago.pm,,http://chicago.pm.org/,-87.641505,41.882104,"Chicago, Illinois, United States of America, North America"
20,Cincinnati.pm,,http://cincinnati.pm.org/,-84.39281,39.190389,"Cincinnati, Ohio, United States of America, North America"
22,Cleveland.pm,,http://cleveland.pm.org,-81.6955556,41.4994444,"Cleveland, Ohio, United States of America, North America"
23,Columbus.pm,,http://columbus.pm.org/,-82883,40.0,"Columbus, Ohio, United States of America, North America"
24,DFW.pm,,http://dfw.pm.org/,-96.76524,32.79415,"Texas, Dallas/Ft. Worth, United States of America, North America"
27,DC.pm,,http://dc.pm.org/,-77.01616,38.90505,"Washington, District of Columbia, United States of America, North America"
28,Denver.pm,,http://denver.pm.org/,-104.87265,39.76803,"Denver, Colorado, United States of America, North America"
29,DesMoines.pm,,http://desmoines.pm.org,-93.620833,41.590833,"Des Moines, Iowa, United States of America, North America"
38,Harrisburg.pm,,http://harrisburg.pm.org/,-77.032329,40.262852,"Harrisburg, Pennsylvania, United States of America, North America"
40,HudsonValley.pm,,http://hudson-valley.pm.org/,-74.422466,41.445661,"Middletown, New York, United States of America, North America"
42,Houston.pm,,http://houston.pm.org/,-95.424338,29.738281,"Houston, Texas, United States of America, North America"
50,KansasCity.pm,,http://kc.pm.org/,-94.596036,38.992614,"Kansas City, Missouri, United States of America, North America"
51,LasVegas.pm,,http://lasvegas.pm.org/,-115.1658417,36.1272588,"Las Vegas, Nevada, Clark County, United States of America, North America"
56,Madison.pm,,http://www.madmongers.org/,-89401,43073,"Madison, Wisconsin, United States of America, North America"
59,Milwaukee.pm,,http://milwaukee.pm.org/,-87.9064,43.0389,"Milwaukee, Wisconsin, United States of America, North America"
60,Minneapolis.pm,,http://www.meetup.com/Minnesota-Perl-User-Group/,-93.26684,44.96185,"Minneapolis, Minnesota, United States of America, North America"
61,Montréal.pm,,http://montreal.pm.org/,-73.574452,45.503896,"Montréal, Québec, Canada, North America"
69,Omaha.pm,,http://omaha.pm.org/,-96.016937,41.247574,"Omaha, Nebraska, United States of America, North America"
70,OrangeCounty.pm,,http://oc.pm.org/,-117.77739,33.67496,"Orange County, California, United States of America, North America"
72,Ottawa.pm,,http://ottawa.pm.org/,-75.700092,45.419869,"Ottawa, Ontario, Canada, North America"
74,Philadelphia.pm,,http://philly.pm.org/,-75.13467,40.00681,"Philadelphia, Pennsylvania, United States of America, North America"
75,Phoenix.pm,,http://phoenix.pm.org/,-111.92503094673157,33.54067927852485,"Phoenix, Arizona, United States of America, North America"
79,PDX.pm,,http://pdx.pm.org/,-122.655206,45.510354,"Portland, Oregon, United States of America, North America"
81,Raleigh.pm,,http://raleigh.pm.org/,-78.678482,35.773984,"Raleigh, North Carolina, Research Triangle, United States of America, North America"
89,SanDiego.pm,,http://sandiego.pm.org/,-117.13577,32.81495,"San Diego, California, United States of America, North America"
90,SanFrancisco.pm,,http://sf.pm.org/,-122.419349,37.775328,"San Francisco, California, United States of America, North America"
95,Seattle.pm,,http://www.seattleperl.org/,-122.35032,47.6218,"Seattle, Washington, United States of America, North America"
97,Sonoma.pm,,http://sonoma.pm.org/,-122.72641,38.4049,"Santa Rosa, California, United States of America, North America"
99,StLouis.pm,,http://stlouis.pm.org/,-90.24429,38.63605,"St. Louis, Missouri, United States of America, North America"
101,Tallahassee.pm,,http://tallahassee.pm.org/,-84.29672,30.45175,"Tallahassee, Florida, United States of America, North America"
102,ThousandOaks.pm,,http://thousand-oaks.pm.org/,-118.79499435424805,34.15092875174315,"Thousand Oaks, California, United States of America, North America"
103,Toronto.pm,,http://to.pm.org/,-79.387168,43.670417,"Toronto, Ontario, Canada, North America"
104,Vancouver.pm,,http://vancouver.pm.org/,-123133,49.25,"Vancouver, British Columbia, Canada, North America"
106,MexicoCity.pm,,http://mexicocity.pm.org/,-99.138611,19.434167,"Mexico City, DF, Mexico, North America"
108,Curitiba.pm,,http://curitiba.pm.org/,-49.25,-25.416667,"Curitiba, Paraná, Brazil, South America"
112,Sao-Paulo.pm,,http://sao-paulo.pm.org/,-46617,-23533,"Sao Paulo, Brazil, South America"
114,Amsterdam.pm,,http://amsterdam.pm.org/,4.91,52.35,"Amsterdam, Netherlands, Europe"
116,Bath.pm,,http://bath.pm.org/,-2.36206,51.38550,"Bath, England, United Kingdom, Europe"
120,Braga.pm,,http://braga.pm.org/,-8.39725,41.56156,"Braga, Portugal, Europe"
121,Bratislava.pm,,http://bratislava.pm.org/,17.1184355,48.1470793,"Bratislava, Slovak Republic, Europe"
122,Bristol.pm,,http://bristol.pm.org/,-2.59277,51.44716,"Bristol, England, United Kingdom, Europe"
126,Edinburgh.pm,,http://edinburgh.pm.org/,-3217,55950,"Edinburgh, Scotland, United Kingdom, Europe"
127,Glasgow.pm,,http://glasgow.pm.org/,-4.254729,55.865541,"Glasgow, Scotland, United Kingdom, Europe"
128,Goteborg.pm,,http://goteborg.pm.org/,11966,57716,"Goteborg, Sweden, Europe"
129,Helsinki.pm,,http://helsinki.pm.org/,24.9405,60.1627,"Helsinki, Finland, Europe"
131,Copenhagen.pm,,http://copenhagen.pm.org/,12583,55667,"Copenhagen, Denmark, Europe"
132,Leipzig.pm,,http://leipzig.pm.org,12.371569,51.336601,"Leipzig, Germany, Europe"
135,Lisbon.pm,,http://lisbon.pm.org/,-9133,38716,"Lisbon, Portugal, Europe"
136,London.pm,,http://london.pm.org/,-0.115387,51.517955,"London, England, United Kingdom, Europe"
141,Moscow.pm,,http://moscow.pm.org,37583,55.75,"Moscow, Russian Federation, Europe"
142,Munich.pm,,http://munich.pm.org/,11583,48150,"Munich, Germany, Europe"
145,Paris.pm,,http://paris.pm.org/,2333,48866,"Paris, France, Europe"
146,Porto.pm,,http://porto.pm.org/,-9200,38783,"Porto, Portugal, Europe"
147,Roma.pm,,http://roma.pm.org/,12.4924,41.8921,"Roma, Italy, Europe"
150,Southampton.pm,,http://southampton.pm.org/,-1.40416,50.90226,"Southampton, England, United Kingdom, Europe"
152,Stockholm.pm,,http://sthlm.pm.org/,18.06,59.33,"Stockholm, Sweden, Europe"
154,SPb.pm,,http://SPb.pm.org/,30266,59933,"St. Petersburg, Russian Federation, Europe"
157,Torino.pm,,http://torino.pm.org/,7.8234,45.0149,"Torino, Italy, Europe"
159,Vienna.pm,,http://vienna.pm.org/,16.3579058,48.2140336,"Vienna, Austria, Europe"
161,Zagreb.pm,,http://zagreb.pm.org,15.96211,45.79981,"Zagreb, Hrvatska (Croatia), Europe"
165,Brisbane.pm,,http://brisbane.pm.org/,153016,-27.5,"Brisbane, Queensland, Australia, Oceania"
173,Melbourne.pm,,http://melbourne.pm.org/,144966,-37816,"Melbourne, Victoria, Australia, Oceania"
176,Perth.pm,,http://perth.pm.org/,115.85,-31.95,"Perth, Western Australia, Australia, Oceania"
177,Singapore.pm,,http://singapore.pm.org/,103.85,1.283333,"Singapore, Singapore, Asia"
179,Sydney.pm,,http://sydney.pm.org/,151216,-33883,"Sydney, New South Wales, Australia, Oceania"
180,Bandung.pm,,http://bandung.pm.org/,115.18,-8.5,"Bandung, West Java, Indonesia, Asia"
181,Bangkok.pm,,http://bangkok.pm.org/,100517,13750,"Bangkok, Thailand, Asia"
182,Beijing.pm,,http://beijing.pm.org/,116412,39.9,"Beijing, China, Asia"
186,Delhi.pm,,http://delhi.pm.org/,77.12,28.38,"Delhi, India, Asia"
187,HongKong.pm,,http://hongkong.pm.org/,114.15,22283,"Hong Kong, China, Asia"
190,Kyoto.pm,,http://kyoto.pm.org,135.777236,35.003759,"Kyoto, Japan, Asia"
192,Pune.pm,,http://pune.pm.org/,73867,18533,"Pune, India, Asia"
193,Shanghai.pm,,http://shanghai.pm.org/,121.551004,31.216178,"Shanghai, Shanghai, China, Asia"
194,Tokyo.pm,,http://tokyo.pm.org/,139766,35.7,"Tokyo, Japan, Asia"
197,Israel.pm,,http://perl.org.il/,34.802699,32.089494,"Israel, Asia"
198,Rehovot.pm,,http://rehovot.pm.org/,34818,31896,"Rehovot, Israel, Asia"
199,CapeTown.pm,,http://capetown.pm/,18.42322,-33.92584,"Cape Town, Western Cape, South Africa, Africa"
209,Guimaraes.pm,,http://guimaraes.pm.org/,-8567,41050,"Guimaraes, Portugal, Europe"
211,Seoul.pm,,http://seoul.pm.org/,126.9769,37.5631,"Seoul, Korea (Republic of), Asia"
213,SiliconValley.pm,,http://svperl.org/,,,"California, Silicon Valley, United States of America, North America"
216,Sofia.pm,,http://sofia.pm.org,23.3166667,42.6833333,"Sofia, Bulgaria, Europe"
218,Caracas.pm,,,-66.9333,10.5,"Caracas, Venezuela, South America"
223,Tempe.pm,,http://tempe.pm.org,-111917,33419,"Tempe, Arizona, United States of America, North America"
229,Bangalore.pm,,http://bangalore.pm.org/,77.5931,12.9819,"Bangalore, Karnataka, India, Asia"
233,Oslo.pm,,http://oslo.pm.org/,10.7524,59.9104,"Oslo, Norway, Europe"
234,Madrid.pm,,http://madrid.pm.org/,-3.6924,40.4063,"Madrid, Spain, Europe"
236,Hyderabad.pm,,http://hyderabad.pm.org/,78467,17383,"Hyderabad, Andhra Pradesh, India, Asia"
237,Budapest.pm,,http://budapest.pm.org/,19.0711,47.5105,"Budapest, Hungary, Europe"
238,Purdue.pm,,http://purdue.pm.org/,-86.9156,40.4229,"West Lafayette, Indiana, United States of America, North America"
240,Frankfurt.pm,,http://frankfurt.pm/,10.5239,49.6766,"Frankfurt, Hessen, Germany, Europe"
252,Milan.pm,,http://milan.pm.org,9.18084,45.46884,"Milan, Lombardia, Italy, Europe"
264,Kolkata.pm,,http://calcutta.pm.org/,88.3254,22.5155,"Kolkata, West Bengal, India, Asia"
267,NewOrleans.pm,,http://neworleans.pm.org/,-90.0500,29.9667,"New Orleans, Louisiana, United States of America, North America"
270,Coimbra.pm,,http://coimbra.pm.org,-8.41,40.20,"Coimbra, Portugal, Europe"
271,Kansai.pm,,http://kansai.pm.org/,135.4739,34.6762,"Osaka, Japan, Asia"
281,Madras.pm,,http://madras.pm.org/,80.2558,13.0797,"Madras, Tamil Nadu, South India, India, Asia"
283,Granada.pm,,http://granada.pm.org,-3.600833,37.178056,"Granada, Spain, Europe"
285,Seneca.pm,,http://seneca.pm.org,-79.500003,43.771794,"Campuses in Toronto and Surrounding Area / Seneca       College of Applied Arts and Technology, Ontario, Canada, North America"
290,Ulm.pm,,http://ulm.pm.org/,9.989373,48.397214,"Ulm, Germany, Europe"
292,AtlanticCity.pm,,http://atlanticcity.pm.org/,-74.496485,39.465305,"AtlanticCity, New Jersey, United States of America, North America"
301,Rio.pm,,http://rio.pm.org/,-43.1748,-22.9062,"Rio de Janeiro, Brazil, Brazil, South America"
305,Los_Angeles.pm,,http://la.pm.org/,-118.499219,34.015987,"Los Angeles, California, United States of America, North America"
307,Athens.pm,,http://athens.pm.org/,23.72931,37.98372,"Athens, Attica, Greece, Europe"
308,Qatar.pm,,http://qatar.pm.org/,51.460839,25.255789,"Doha, Middle East, Qatar, Asia"
313,Chisinau.pm,,http://chisinau.pm.org/,28.838325,47.023301,"Chisinau, Moldova, Moldova, Republic of, Europe"
315,Birmingham.pm,,http://birmingham.pm.org/,-1.8965,52.47435,"Birmingham, United Kingdom, Europe"
317,Colombo.pm,,http://colombo.pm.org/,79.8428,6.9344,"Colombo, Western Province, Sri Lanka, Asia"
327,Toulouse.pm,,http://toulouse.pm.org/,1.4333,43.6000,"Toulouse, France, Europe"
328,Niederrhein.pm,,http://niederrhein.pm.org/,6.45185,51.15479,"Mönchengladbach, Nordrhein Westfalen (NRW), Niederrhein (Lower Rhine area), Germany, Europe"
353,Barcelona.pm,,http://barcelona.pm.org/,2.162193,41.389984,"Barcelona, Spain, Europe"
355,Santa Fe-Los Alamos.pm,,http://santafelosalamos.pm.org/,-105933,35683,"Los Alamos, New Mexico, Santa Fe-Los Alamos, United States of America, North America"
357,Victoria.pm,,http://victoria.pm.org/,-123.35,48.43,"Victoria, British Columbia, Vancouver Island, Canada, North America"
360,Rousse.pm,,http://rousse.pm.org/,25.95,43.83,"Rousse, Bulgaria, Europe"
365,Brasilia.pm,,http://brasilia.pm.org/,-47.879337,-15.799269,"Brasilia, Brazil, Brazil, South America"
370,Wellington.pm,,http://wellington.pm.org/,174.75,-41.25,"Wellington, New Zealand, Oceania"
371,Marseille.pm,,http://marseille.pm.org/,5.4000,43.3000,"Marseille, France, Europe"
381,Timisoara.pm,,http://timisoara.pm.org/,21217,45750,"Timişoara, Timiş, Romania, Europe"
385,Salem.pm,,http://salem.pm.org/,-123033,44.95,"Salem, Oregon, United States of America, North America"
395,Prague.pm,,http://www.mezl.eu/praha-pm,14.4115,50.0862,"Prague, Czech Republic, Europe"
404,Bend.pm,,http://bend.pm.org/,-121.3146444,44.0611364,"Bend, Oregon, United States of America, North America"
416,Berlin.pm,,http://berliner.pm.org/,13.4000,52.5167,"Berlin, Germany, Europe"
423,Bergen.pm,,http://bergen.pm.org/,5.332164,60.387989,"Bergen, Hordaland, Norway, Europe"
451,SaltLake.pm,,http://saltlake.pm.org/,-111.88,40.75,"Salt Lake City, Utah, United States of America, North America"
452,Nordest.pm,,http://nordest.pm.org/,12.3,45.5,"Venice, Italy, Europe"
453,CaFe.pm,,http://cafe.pm.org/,-58.459769,-34.574165,"Capital Federal, Argentina, South America"
462,Tucson.pm,,http://tucson.pm.org/,-111,32.3,"Tucson, Arizona, United States of America, North America"
463,Devon and Cornwall.pm,,http://devoncornwall.pm.org/,-4.0042,50.7384,"Devon & Cornwall, United Kingdom, Europe"
464,CostaRica.pm,,http://costarica.pm.org/,-84.08,9.93,"San Jose, Costa Rica, Central America"
468,Lyon.pm,,http://lyon.pm.org/,4.8500,45.7500,"Lyon, France, Europe"
474,Basel.pm,,http://basel.pm.org/,,,"Basel, Switzerland, Europe"
480,Bruxelles.pm,,http://bruxelles.pm.org/,4.3333,50.8333,"Brussels, Belgium, Europe"
483,CAMEL.pm,,http://camel.pm.org/,,,"Columbia, Annapolis, Meade, Elkridge, and Laurel, Maryland, Central Maryland, United States of America, North America"
484,Belgrade.pm,,http://belgrade.pm.org/,20.47,44.81,"Belgrade, Serbia, Yugoslavia, Europe"
496,Zurich.pm,,http://zurich.pm.org/,8.55,47.37,"Zürich, Zürich, Switzerland, Europe"
497,China.pm,,http://www.perlchina.org/,116.390934205,39.9158489677,"HangZhou, ZheJiang, China, Asia"
498,Fortaleza.pm,,http://fortaleza.pm.org/,-38.53,-3.72,"Fortaleza, Ceara, Northeast, Brazil, South America"
508,Bucharest.pm,,http://bucharest.pm.org/,26.1,44.3,"Bucharest, Romania, Europe"
510,Cascavel.pm,,http://cascavel.pm.org/,-53.433333,-24.966667,"Cascavel, Paraná, Brazil, South America"
511,Guatemala.pm,,http://guatemala.pm.org/,,,"Guatemala, Guatemala, North America"
512,Helsingborg.pm,,http://helsingborg.pm.org/,12.7500,56.0833,"Helsingborg, Skåne, Sweden, Europe"
520,Vlaanderen.pm,,http://vlaanderen.pm.org/,4.482309,51.017904,"Antwerpen, Vlaanderen, Belgium, Europe"
522,ZA.pm,,http://za.pm.org/,26.5333,-33.3000,"Grahamstown, Eastern Cape, South Africa, Africa"
526,Mumbai.pm,,http://mumbai.pm.org/,72.886385,19.110998,"Mumbai, Maharashtra, Andheri, India, Asia"
535,Kw.pm,,http://kw.pm.org/,-80542,43473,"Kitchener-Waterloo, Ontario, Canada, North America"
538,Terere.pm,,http://Terere.pm.org/,-57.67,-25.27,"Asuncion, Central, Central, Paraguay, South America"
539,Dresden.pm,,http://Dresden.pm.org/,13.7500,51.0500,"Dresden, Germany, Europe"
543,Cologne.pm,,http://Cologne.pm.org/,6.9593,50.93,"Cologne, NRW, Rhineland, Germany, Europe"
545,Hamburg.pm,,http://hamburg.pm.org/,9988,53.5557751,"Hamburg, Germany, Europe"
554,Saarland.pm,,http://saarland.pm.org/,6.996145,49.233124,"Mandelbachtal, Saarland, Germany, Europe"
555,Shibuya.pm,,http://shibuya.pm.org/,139.7018,35.6590,"Shibuya, Tokyo, Japan, Asia"
565,Pisa.pm,,http://pisa.pm.org/,10383,43717,"Pisa, Toscana, Italy, Europe"
579,Recife.pm,,http://recife.pm.org/,-34.8715899,-8.0629316,"Recife, Pernambuco, Nordeste, Brazil, South America"
580,Arnhem.pm,,http://arnhem.pm.org/,5.912888,52.002615,"Arnhem, Netherlands, Europe"
583,Stuttgart.pm,,http://stuttgart.pm.org/,9.1225,48.7214,"Stuttgart, Baden-Württemberg, Germany, Europe"
584,Brasil.pm,,http://brasil.pm.org/,-47.95,-15.75,"Brazil, Brazil, South America"
589,Dahut.pm,,http://dahut.pm.org/,,,"Non-geographical, Non-geographical"
592,Orlando.pm,,http://orlando.pm.org/,-81.368533,28.533611,"Orlando, Florida, United States of America, North America"
599,Jakarta.pm,,http://jakarta.pm.org/,106.8000,-6.2000,"Jakarta, Jakarta, Indonesia, Asia"
600,Roederbergweg.pm,,http://roederbergweg.pm.org/,8683,50117,"Roederbergweg, Germany, Europe"
613,Bielefeld.pm,,http://bielefeld.pm.org/,8533,52033,"Bielefeld, Ostwestfalen-Lippe, Nordrhein-Westfalen, Germany, Europe"
616,Plovdiv.pm,,http://plovdiv.pm.org/,,,"Plovdiv, Plovdiv, Europe, Bulgaria, Europe"
618,Kampala.pm,,http://kampala.pm.org/,32.581111,0.313611,"Kampala, Uganda, Africa, Uganda, Africa"
626,ABE.pm,,http://abe.pm.org/,-75.370833,40.625833,"Allentown-Bethlehem-Easton, Pennsylvania, Lehigh Valley / ABE, United States of America, North America"
635,Nottingham.pm,,http://nottingham.pm.org/,-1.14857,52.948621,"Nottingham, Nottinghamshire, East Midlands, United Kingdom, Europe"
643,Jerusalem.pm,,http://jerusalem.perl.org.il/,35.190926,31.750795,"Jerusalem, Israel, Asia"
650,Italia.pm,,http://italia.pm.org/,10.38,43.72,"Pisa, Italy, Europe"
651,Geneva.pm,,http://geneve.mongueurs.net,6.14,46.21,"Geneve, Switzerland, Europe"
652,Aarau.pm,,http://aarau.pm.org/,,,"Aarau, Aargau, Switzerland, Europe"
656,Aberdeen.pm,,http://aberdeen.pm.org/,-2.07,57.08,"Aberdeen, Aberdeenshire, United Kingdom, Europe"
657,Paderborn.pm,,http://paderborn.pm.org/,8.75,51.72,"Paderborn, Nordrhein-Westfalen, Ostwestfalen, Germany, Europe"
